frame_id,1's score,pos_x,pos_y,up_x,up_y
0,0.0,9.399999995178053,10.50000000129157,0.0,0.0
1,0.0,9.399999995178199,10.500000001290656,0.0,0.0
2,0.0,9.399999995187832,10.500000001290404,0.0,0.0
3,0.0,9.39999999519528,10.500000001285441,0.0,0.0
4,0.0,9.399999995204945,10.500000001285594,0.0,0.0
5,0.0,9.399999995214898,10.500000001283832,0.0,0.0
6,0.0,9.399999995235657,10.500000001276897,0.0,0.0
7,0.0,9.399999995235957,10.500000001275147,0.0,0.0
8,0.0,9.399999995235957,10.500000001275147,0.0,0.0
9,0.0,9.39999999524609,10.500000001272735,0.0,0.0
10,0.0,9.399999995256222,10.500000001270406,0.0,0.0
11,0.0,9.399999995266201,10.500000001268925,0.0,0.0
12,0.0,9.399999995266356,10.50000000126809,0.0,0.0
13,2.5329421421131938e-45,9.399999995296419,10.500000001261531,-3.965733014025419e-45,7.9144004912923e-46
14,6.30116500695433e-28,9.399999995306855,10.500000001258345,-3.9657270825950016e-45,7.914621784518218e-46
15,6.301158738678334e-28,9.399999995316987,10.500000001256025,-1.132490477110187e-08,1.5303540183485522e-17
16,6.301158738710446e-28,9.39999999532709,10.500000001253301,-1.233212450712893e-08,-3.5681146717298563e-10
17,2.5323885012294948e-45,9.39999999533722,10.500000001250934,-1.233212450712893e-08,-3.5681146717298563e-10
18,3.248636158857155e-45,9.39999999533722,10.500000001250934,-1.2332124501568582e-08,-3.5681146702972456e-10
19,6.301158738774377e-28,9.399999995347374,10.500000001247907,-1.2332124499621041e-08,-3.568114669702205e-10
20,6.301158738804014e-28,9.399999995357502,10.500000001245514,-1.233212449548858e-08,-3.5681146685830627e-10
21,6.30115873883315e-28,9.399999995367635,10.500000001243189,-1.2332124491392328e-08,-3.568114667475501e-10
22,6.301158738888212e-28,9.399999995375355,10.500000001237078,-1.2332124487512705e-08,-3.5681146665057806e-10
23,2.5323885011494227e-45,9.399999995385492,10.500000001234712,-1.233212448471919e-08,-3.5681146657490096e-10
24,6.301158738946784e-28,9.399999995395625,10.500000001232388,-1.2332124480459462e-08,-3.5681146646333745e-10
25,6.301158738976577e-28,9.399999995405757,10.500000001229976,-1.2332124472882329e-08,-3.568114662629943e-10
26,6.301158739034791e-28,9.399999995426024,10.500000001225333,-1.233212446895252e-08,-3.5681146616048347e-10
27,6.301158739065099e-28,9.399999995436147,10.500000001222851,-1.2332124462078423e-08,-3.568114659811507e-10
28,6.301158739094327e-28,9.39999999544628,10.500000001220513,-1.2332124459566759e-08,-3.568114659195092e-10
29,2.837624263072474e-24,9.399999995456213,10.500000001218512,-1.2332124456448407e-08,-3.568114658338199e-10
30,3.24863615865357e-45,9.39999999545639,10.500000001217934,-1.2332124453481674e-08,-3.568114657589766e-10
31,6.301158739154668e-28,9.399999995466523,10.500000001215586,-1.2332124450720559e-08,-3.5681146569092943e-10
32,6.301158739183724e-28,9.399999995476657,10.500000001213271,-1.2332124445517235e-08,-3.568114655472184e-10
33,6.301158739215888e-28,9.399999995486757,10.500000001210541,-1.2332124443681715e-08,-3.5681146549075834e-10
34,6.3011587392453305e-28,9.399999995496888,10.500000001208175,-1.2332124440228573e-08,-3.568114654082388e-10
35,2.5323885009864055e-45,9.399999995507041,10.500000001205148,-1.2332124437409012e-08,-3.568114653315691e-10
36,6.3011587392798e-28,9.399999995507041,10.500000001205148,-1.2332124431821136e-08,-3.5681146519071677e-10
37,6.301158739309443e-28,9.39999999551717,10.500000001202755,-1.2332124428864568e-08,-3.56811465115086e-10
38,6.301158739338497e-28,9.399999995527304,10.50000000120044,-1.2332124424525006e-08,-3.5681146499285517e-10
39,6.3011587393936565e-28,9.399999995535023,10.500000001194318,-1.2332124420420284e-08,-3.5681146488683047e-10
40,6.301158739423089e-28,9.39999999554516,10.500000001191953,-1.2332124417584418e-08,-3.568114648157856e-10
41,6.301158739452212e-28,9.399999995555293,10.50000000118963,-1.233212441246601e-08,-3.568114646754031e-10
42,6.301158739482002e-28,9.399999995575405,10.500000001185748,-1.2332124409539511e-08,-3.568114646010826e-10
43,6.301158739540232e-28,9.399999995585691,10.500000001182572,-1.2332124402483726e-08,-3.5681146441359713e-10
44,6.301158739570527e-28,9.399999995595815,10.500000001180092,-1.2332124400746674e-08,-3.568114643599098e-10
45,6.3011587395997555e-28,9.399999995605947,10.500000001177755,-1.2332124393004157e-08,-3.568114641676995e-10
46,2.532388500834785e-45,9.399999995616058,10.500000001175176,-1.233212439144117e-08,-3.5681146411881643e-10
47,6.3011587396307885e-28,9.399999995625889,10.500000001173698,-1.2332124391231105e-08,-3.5681146411306587e-10
48,6.301158739659842e-28,9.399999995626192,10.500000001172861,-1.2332124386781641e-08,-3.568114640026604e-10
49,6.301158739689165e-28,9.399999995636325,10.50000000117051,-1.2332124382466644e-08,-3.568114638818788e-10
50,2.5323885007800033e-45,9.399999995656556,10.500000001165416,-1.2332124378405756e-08,-3.568114637748946e-10
51,6.30115873978523e-28,9.39999999566671,10.50000000116239,-1.233212437050548e-08,-3.568114635708655e-10
52,6.3011587398143e-28,9.399999995676843,10.500000001160073,-1.2332124367732082e-08,-3.568114635021698e-10
53,2.532388500752102e-45,9.399999995686972,10.50000000115768,-1.2332124364942167e-08,-3.568114634264927e-10
54,3.248636158261351e-45,9.399999995686972,10.50000000115768,-1.2332124361072286e-08,-3.568114633263708e-10
55,6.301158739899082e-28,9.39999999569469,10.500000001151559,-1.2332124358271571e-08,-3.5681146324555855e-10
