frame_id,2's score,pos_x,pos_y,up_x,up_y
0,0.0,0.0,0.0,0.0,0.0
1,0.0,11.999999999999986,14.999999999999966,0.0,0.0
2,0.0,11.999999999999986,14.999999999999966,0.0,0.0
3,0.0,11.999999999999986,14.999999999999966,0.0,0.0
4,0.0,11.999999999999995,14.999999999999964,0.0,0.0
5,0.0,11.999999999999995,14.999999999999964,0.0,0.0
6,3.1258983336511644e-11,11.999999999999986,14.999999999999966,-1.9320251004362747e-10,-2.42038294936146e-10
7,3.1258983336511644e-11,11.999999999999986,14.999999999999966,-1.9320251004362747e-10,-2.420382949361494e-10
8,1.7918491823064658e-18,11.999999999999986,14.999999999999966,-4.3011941852257194e-09,9.395812509854773e-09
9,1.6008183405466527e-60,11.999999999999986,14.999999999999966,-1.3703899625257572e-09,8.209735142564681e-09
10,1.6008183405466527e-60,11.999999999999986,14.999999999999966,-1.3703899629795286e-09,8.209735143387256e-09
11,1.6008183405466527e-60,11.999999999999986,14.999999999999966,-1.370389963233215e-09,8.209735143843172e-09
12,1.600818340546653e-60,11.999999999999995,14.999999999999964,-1.37038996364662e-09,8.209735144623395e-09
13,1.6008183405466527e-60,11.999999999999986,14.999999999999966,-1.3703899639825745e-09,8.209735145198848e-09
14,1.600818340546653e-60,11.999999999999995,14.999999999999964,-1.3703899643842534e-09,8.209735145944131e-09
15,1.6008183405466527e-60,11.999999999999986,14.999999999999966,-1.3703899648173784e-09,8.209735146753577e-09
16,1.600818340546653e-60,11.999999999999995,14.999999999999964,-1.3703899650745852e-09,8.209735147217222e-09
17,1.600818340546653e-60,11.999999999999995,14.999999999999964,-1.3703899654538972e-09,8.209735147945352e-09
18,1.6008183405466527e-60,11.999999999999986,14.999999999999966,-1.370389965950682e-09,8.209735148863748e-09
19,1.600818340546653e-60,11.999999999999995,14.999999999999964,-1.3703899664949271e-09,8.20973514988421e-09
20,1.6008183405466527e-60,11.999999999999986,14.999999999999966,-1.3703899672570186e-09,8.209735151214582e-09
21,1.600818340546653e-60,11.999999999999995,14.999999999999964,-1.3703899671728976e-09,8.20973515110362e-09
22,1.6008183405466527e-60,11.999999999999995,14.999999999999964,-1.3703899681482825e-09,8.20973515282585e-09
23,1.6008183405466527e-60,11.999999999999995,14.999999999999964,-1.370389968314301e-09,8.209735153163499e-09
24,1.6008183405466527e-60,11.999999999999986,14.999999999999966,-1.3703899686962599e-09,8.209735153900312e-09
25,1.6008183405466527e-60,11.999999999999986,14.999999999999966,-1.3703899689596077e-09,8.209735154376874e-09
26,1.600818340546653e-60,11.999999999999986,14.999999999999966,-1.3703899692014092e-09,8.20973515480632e-09
27,1.600818340546653e-60,11.999999999999995,14.999999999999964,-1.3703899692022033e-09,8.209735154810131e-09
28,1.600818340546653e-60,11.999999999999995,14.999999999999964,-1.3703899698638154e-09,8.209735156002965e-09
29,1.6008183405466527e-60,11.999999999999986,14.999999999999966,-1.370389969776174e-09,8.209735155882369e-09
30,1.6008183405466527e-60,11.999999999999995,14.999999999999964,-1.3703899701993993e-09,8.209735156631146e-09
31,1.6008183405466527e-60,11.999999999999995,14.999999999999964,-1.3703899706000458e-09,8.209735157402793e-09
32,1.600818340546653e-60,11.999999999999995,14.999999999999964,-1.3703899713362498e-09,8.209735158719082e-09
33,1.6008183405466527e-60,11.999999999999986,14.999999999999966,-1.3703899720960648e-09,8.20973516010017e-09
34,1.6008183405466527e-60,11.999999999999995,14.999999999999964,-1.3703899723544364e-09,8.209735160575355e-09
35,1.600818340546653e-60,11.999999999999995,14.999999999999964,-1.3703899726099756e-09,8.209735161036882e-09
36,1.6008183405466527e-60,11.999999999999986,14.999999999999966,-1.3703899733858578e-09,8.209735162502355e-09
37,1.6008183405466527e-60,11.999999999999986,14.999999999999966,-1.3703899736451293e-09,8.209735162973199e-09
38,1.600818340546653e-60,11.999999999999986,14.999999999999966,-1.3703899740354791e-09,8.209735163703553e-09
39,1.6008183405466527e-60,11.999999999999986,14.999999999999966,-1.3703899743802745e-09,8.209735164289488e-09
40,1.600818340546653e-60,11.999999999999995,14.999999999999964,-1.3703899741715338e-09,8.20973516398191e-09
41,1.6008183405466527e-60,11.999999999999986,14.999999999999966,-1.3703899747885708e-09,8.209735165092052e-09
42,1.600818340546653e-60,11.999999999999995,14.999999999999964,-1.370389975430463e-09,8.2097351662329e-09
43,1.600818340546653e-60,11.999999999999995,14.999999999999964,-1.370389975430463e-09,8.2097351662329e-09
44,1.6008183405466527e-60,11.999999999999986,14.999999999999966,-1.3703899753512919e-09,8.20973516613062e-09
45,1.600818340546653e-60,11.999999999999995,14.999999999999964,-1.3703899758567323e-09,8.20973516707305e-09
46,1.6008183405466527e-60,11.999999999999995,14.999999999999964,-1.3703899767342584e-09,8.20973516866166e-09
47,1.6008183405466527e-60,11.999999999999995,14.999999999999964,-1.370389976998718e-09,8.209735169134517e-09
48,1.6008183405466527e-60,11.999999999999986,14.999999999999966,-1.3703899776492393e-09,8.209735170284576e-09
49,1.6008183405466527e-60,11.999999999999986,14.999999999999966,-1.3703899776492393e-09,8.209735170284576e-09
50,1.600818340546653e-60,11.999999999999995,14.999999999999964,-1.3703899778377836e-09,8.209735170665952e-09
51,1.6008183405466527e-60,11.999999999999986,14.999999999999966,-1.3703899782486475e-09,8.209735171455916e-09
52,1.6008183405466527e-60,11.999999999999986,14.999999999999966,-1.3703899786617084e-09,8.209735172207658e-09
53,1.600818340546653e-60,11.999999999999995,14.999999999999964,-1.3703899785773227e-09,8.209735172095215e-09
54,1.6008183405466527e-60,11.999999999999986,14.999999999999966,-1.3703899795512783e-09,8.20973517380601e-09
55,1.600818340546653e-60,11.999999999999995,14.999999999999964,-1.3703899799568482e-09,8.209735174615667e-09
56,1.6008183405466527e-60,11.999999999999986,14.999999999999966,-1.3703899811709111e-09,8.209735176780895e-09
57,1.6008183405466527e-60,11.999999999999986,14.999999999999966,-1.37038998099899e-09,8.209735176549443e-09
58,1.600818340546653e-60,11.999999999999995,14.999999999999964,-1.3703899815873867e-09,8.20973517759394e-09
59,1.600818340546653e-60,11.999999999999995,14.999999999999964,-1.3703899820104267e-09,8.209735178349706e-09
60,1.6008183405466527e-60,11.999999999999986,14.999999999999966,-1.370389982730934e-09,8.20973517966843e-09
61,1.6008183405466527e-60,11.999999999999986,14.999999999999966,-1.3703899826430544e-09,8.209735179548575e-09
62,1.6008183405466527e-60,11.999999999999995,14.999999999999964,-1.3703899832349452e-09,8.209735180606413e-09
63,1.600818340546653e-60,11.999999999999986,14.999999999999966,-1.3703899843662106e-09,8.20973518268715e-09
64,1.6008183405466527e-60,11.999999999999986,14.999999999999966,-1.3703899849674452e-09,8.20973518374213e-09
65,1.6008183405466527e-60,11.999999999999995,14.999999999999964,-1.3703899856264368e-09,8.209735184988115e-09
66,1.6008183405466527e-60,11.999999999999986,14.999999999999966,-1.3703899858949198e-09,8.209735185470077e-09
67,1.6008183405466527e-60,11.999999999999986,14.999999999999966,-1.3703899864967632e-09,8.20973518663877e-09
68,1.600818340546653e-60,11.999999999999995,14.999999999999964,-1.3703899873220909e-09,8.20973518814236e-09
69,1.6008183405466527e-60,11.999999999999986,14.999999999999966,-1.3703899873218527e-09,8.209735188140877e-09
70,1.600818340546653e-60,11.999999999999986,14.999999999999966,-1.37038998723392e-09,8.209735188022716e-09
71,1.6008183405466527e-60,11.999999999999986,14.999999999999966,-1.3703899877312343e-09,8.209735188947147e-09
72,1.6008183405466527e-60,11.999999999999986,14.999999999999966,-1.3703899889784903e-09,8.209735191141703e-09
73,1.6008183405466527e-60,11.999999999999986,14.999999999999966,-1.3703899893592051e-09,8.209735191873434e-09
