frame_id,3's score,pos_x,pos_y,up_x,up_y
0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0
2,0.0,14.060000001366552,10.49999999490124,0.0,0.0
3,0.0,14.060000001362813,10.499999994902044,0.0,0.0
4,0.0,14.06000000136239,10.499999994905721,0.0,0.0
5,0.0,14.060000001362647,10.499999994914202,0.0,0.0
6,0.0,14.060000001358514,10.499999994922954,0.0,0.0
7,0.0,14.060000001359194,10.499999994931475,0.0,0.0
8,2.123381854088387e-09,14.060000001349987,10.499999994952034,-1.5775745233136412e-08,-1.0394254093342512e-08
9,2.1233818540786207e-09,14.06000000134826,10.499999994958886,-1.577574523298806e-08,-1.0394254093266338e-08
10,2.1233818540590774e-09,14.060000001346783,10.499999994969814,-1.5775745232833144e-08,-1.0394254093176875e-08
11,2.123381852469279e-09,14.060000001346792,10.499999994977788,-1.147455100112764e-08,-1.9790066708864584e-08
12,1.11130588093364e-49,14.060000001342534,10.499999994986492,9.171217828632496e-10,-5.311103807707329e-10
13,1.1113058809338987e-49,14.060000001341747,10.499999994993866,9.171217828754786e-10,-5.311103807551091e-10
14,1.1113058809340274e-49,14.060000001338285,10.499999995003165,9.171217828725537e-10,-5.311103807410073e-10
15,1.1113058809343037e-49,14.060000001334894,10.499999995012494,9.171217828643084e-10,-5.311103807156095e-10
16,1.1113058809346775e-49,14.060000001334773,10.499999995020413,9.171217827953282e-10,-5.311103807063451e-10
17,1.1113058809347388e-49,14.060000001329657,10.499999995028238,9.171217827981472e-10,-5.311103806921242e-10
18,1.1113058809350632e-49,14.060000001330524,10.499999995037092,9.171217828073454e-10,-5.311103806711866e-10
19,1.1113058809353889e-49,14.060000001324221,10.499999995047995,9.171217827986766e-10,-5.311103806515858e-10
20,1.1113058809357205e-49,14.060000001321503,10.499999995057873,9.171217827783875e-10,-5.311103806324349e-10
21,1.1113058809358316e-49,14.06000000132237,10.499999995066727,9.17121782760163e-10,-5.311103806089496e-10
22,1.1113058809361588e-49,14.06000000131592,10.499999995077419,9.171217827407342e-10,-5.311103805895207e-10
23,1.111305880936239e-49,14.060000001315524,10.499999995085364,9.171217827451944e-10,-5.311103805699199e-10
24,1.1113058809365428e-49,14.060000001315403,10.499999995093283,9.171217826820772e-10,-5.311103805605165e-10
